pair_id,sensor,image_id,image_filename,image_url,latitude,longitude,lines,line_samples,sample_bits,sample_type,scaling_factor,offset,label_url
TC1W2B0_01_05982N023E2413__TC2W2B0_01_05982N023E2413,TC2,TC2W2B0_01_05982N023E2413,TC2W2B0_01_05982N023E2413.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090209/data/TC2W2B0_01_05982N023E2413.img.gz,2.335,241.3369,4656,3496,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090209/data/TC2W2B0_01_05982N023E2413.lbl
TC1W2B0_01_05857S094E1918__TC2W2B0_01_05857S094E1918,TC1,TC1W2B0_01_05857S094E1918,TC1W2B0_01_05857S094E1918.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC1W2B0_01_05857S094E1918.img.gz,-9.4329,191.8151,2936,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC1W2B0_01_05857S094E1918.lbl
TC1W2B0_01_05857S094E1918__TC2W2B0_01_05857S094E1918,TC2,TC2W2B0_01_05857S094E1918,TC2W2B0_01_05857S094E1918.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC2W2B0_01_05857S094E1918.img.gz,-9.4371,191.8185,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC2W2B0_01_05857S094E1918.lbl
TC1W2B0_01_02883N173E1515__TC2W2B0_01_02883N173E1515,TC1,TC1W2B0_01_02883N173E1515,TC1W2B0_01_02883N173E1515.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02883N173E1515.img.gz,17.3173,151.5404,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC1W2B0_01_02883N173E1515.lbl
TC1W2B0_01_02883N173E1515__TC2W2B0_01_02883N173E1515,TC2,TC2W2B0_01_02883N173E1515,TC2W2B0_01_02883N173E1515.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02883N173E1515.img.gz,17.3202,151.5356,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20080601/data/TC2W2B0_01_02883N173E1515.lbl
TC1W2B0_01_05858S095E1908__TC2W2B0_01_05858S095E1908,TC1,TC1W2B0_01_05858S095E1908,TC1W2B0_01_05858S095E1908.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC1W2B0_01_05858S095E1908.img.gz,-9.4796,190.7703,2936,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC1W2B0_01_05858S095E1908.lbl
TC1W2B0_01_05858S095E1908__TC2W2B0_01_05858S095E1908,TC2,TC2W2B0_01_05858S095E1908,TC2W2B0_01_05858S095E1908.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC2W2B0_01_05858S095E1908.img.gz,-9.4835,190.7742,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090130/data/TC2W2B0_01_05858S095E1908.lbl
TC1W2B0_01_05798S578E2545__TC2W2B0_01_05798S578E2545,TC1,TC1W2B0_01_05798S578E2545,TC1W2B0_01_05798S578E2545.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC1W2B0_01_05798S578E2545.img.gz,-57.8283,254.5022,2664,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC1W2B0_01_05798S578E2545.lbl
TC1W2B0_01_05798S578E2545__TC2W2B0_01_05798S578E2545,TC2,TC2W2B0_01_05798S578E2545,TC2W2B0_01_05798S578E2545.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC2W2B0_01_05798S578E2545.img.gz,-57.8205,254.5029,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090125/data/TC2W2B0_01_05798S578E2545.lbl
TC1W2B0_01_05825N045E2257__TC2W2B0_01_05825N045E2257,TC1,TC1W2B0_01_05825N045E2257,TC1W2B0_01_05825N045E2257.img.gz,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC1W2B0_01_05825N045E2257.img.gz,4.4727,225.6839,4656,4096,16,MSB_INTEGER,0.013,0,https://data.darts.isas.jaxa.jp/pub/pds3/sln-l-tc-3-w-level2b0-v1.0/20090127/data/TC1W2B0_01_05825N045E2257.lbl
